,Code,Language,Type,URL,Stars,PushDate,build_script,expert,use_cmake,use_configure,usedHash,note
5567,dkrdzic/MUPS,C,git,https://github.com/dkrdzic/MUPS.git,0,2022-05-05 09:47:21+00:00,,ci,,,,
5873,Zemi-B/OpenMP,C,git,https://github.com/Zemi-B/OpenMP.git,0,2022-01-21 01:58:31+00:00,,ci,,,,
5746,Jimborg7/Parallel-Programming,C++,git,https://github.com/Jimborg7/Parallel-Programming.git,0,2022-03-11 10:26:51+00:00,,ci,,,,
5871,xkrejc70/mit-AVS-project1,C++,git,https://github.com/xkrejc70/mit-AVS-project1.git,0,2022-01-21 15:42:54+00:00,,ci,,,,
5897,jcqa24/GA-NQUEENS-openMP,C,git,https://github.com/jcqa24/GA-NQUEENS-openMP.git,0,2022-01-13 17:53:47+00:00,,ci,,,,
8008,JuanCarlosAcostaPeraba/mul-matrices-paralelo,C,git,https://github.com/JuanCarlosAcostaPeraba/mul-matrices-paralelo.git,0,2023-10-07 12:21:58+00:00,,ci,,,,
5739,nikki-ps/CPSC-479-openMP,C++,git,https://github.com/nikki-ps/CPSC-479-openMP.git,0,2022-03-14 20:13:45+00:00,,ci,,,,
5572,RadianceG/MyOpenMPWork,C++,git,https://github.com/RadianceG/MyOpenMPWork.git,0,2022-05-03 06:49:50+00:00,,ci,,,,
5904,jaime-max/openMP,C,git,https://github.com/jaime-max/openMP.git,0,2022-01-12 02:24:03+00:00,,ci,,,,
8001,chihyeonwon/OpenMP,C,git,https://github.com/chihyeonwon/OpenMP.git,0,2023-10-10 16:26:38+00:00,,ci,,,,
5740,konrad-szychowiak/openmpi-decrypt,C,git,https://github.com/konrad-szychowiak/openmpi-decrypt.git,0,2022-03-14 20:07:52+00:00,,ci,,,,
5865,FatbardhKadriu/OpenMP-StencilCode,C++,git,https://github.com/FatbardhKadriu/OpenMP-StencilCode.git,0,2022-01-23 16:02:35+00:00,,ci,,,,
5899,prathmesh-bendal/parallel-prims-algorithm,C,git,https://github.com/prathmesh-bendal/parallel-prims-algorithm.git,0,2022-01-13 12:07:39+00:00,,ci,,,,
8046,RomaricVandycke/ExerciceOpenMP1,C,git,https://github.com/RomaricVandycke/ExerciceOpenMP1.git,0,2023-09-25 16:41:40+00:00,,ci,,,,
8045,mbrcruz/tsp-openmp,C,git,https://github.com/mbrcruz/tsp-openmp.git,0,2023-09-25 18:33:28+00:00,,ci,,,,
8060,egeaktemur/Kakuro-Puzzle-Solver-using-CUDA-OpenMP,C++,git,https://github.com/egeaktemur/Kakuro-Puzzle-Solver-using-CUDA-OpenMP.git,0,2023-09-21 14:41:57+00:00,,ci,,,,
5531,mtyutyulnikov/supercomputers_course,C++,git,https://github.com/mtyutyulnikov/supercomputers_course.git,0,2022-05-15 11:52:53+00:00,,ci,,,,
5886,saurabhkakade21/Parallel-Programming-2020,C,git,https://github.com/saurabhkakade21/Parallel-Programming-2020.git,0,2022-01-17 03:18:20+00:00,,ci,,,,
5725,mario21ic/openmpi-demos,C++,git,https://github.com/mario21ic/openmpi-demos.git,0,2022-03-21 04:43:47+00:00,,ci,,,,
8051,Shuwei16/OpenMPBellmanFord,C++,git,https://github.com/Shuwei16/OpenMPBellmanFord.git,0,2023-09-24 13:55:05+00:00,,ci,,,,
7967,2002nov/bucket_sorting-using-openMP,C,git,https://github.com/2002nov/bucket_sorting-using-openMP.git,0,2023-10-21 13:28:38+00:00,,ci,,,,
8056,MihailLovch/openmp_1-5,C++,git,https://github.com/MihailLovch/openmp_1-5.git,0,2023-09-22 16:07:20+00:00,,ci,,,,
5887,GREYXXX/Matrix-Operation,C,git,https://github.com/GREYXXX/Matrix-Operation.git,0,2022-01-16 17:20:58+00:00,,ci,,,,
5751,johnMinelli/Parallel-KMeans,C++,git,https://github.com/johnMinelli/Parallel-KMeans.git,0,2022-03-10 08:19:58+00:00,,ci,,,,
8009,valberrya/ParallelProgrammingTask4,C++,git,https://github.com/valberrya/ParallelProgrammingTask4.git,0,2023-10-07 11:11:44+00:00,,ci,,,,
5888,ArthurLCW/Heat-Simulation,C++,git,https://github.com/ArthurLCW/Heat-Simulation.git,0,2022-01-15 16:59:10+00:00,,ci,,,,
5750,IldarS2000/OpenMP-lab,C++,git,https://github.com/IldarS2000/OpenMP-lab.git,0,2022-03-10 09:15:27+00:00,,ci,,,,
5724,Hsparkcon/CAS766_Project_Parallelized_SpMV,C++,git,https://github.com/Hsparkcon/CAS766_Project_Parallelized_SpMV.git,0,2022-03-21 17:07:39+00:00,,ci,,,,
5893,SaltySugar32/Parallel_integral,C++,git,https://github.com/SaltySugar32/Parallel_integral.git,0,2022-01-14 06:41:09+00:00,,ci,,,,
5894,SaltySugar32/RandomGenerator,C++,git,https://github.com/SaltySugar32/RandomGenerator.git,0,2022-01-14 02:08:05+00:00,,ci,,,,
5537,fengling0410/Parallelized-Movie-Recommendation,C++,git,https://github.com/fengling0410/Parallelized-Movie-Recommendation.git,0,2022-05-13 14:31:15+00:00,,ci,,,,
5874,V6429/openmp_present,C,git,https://github.com/V6429/openmp_present.git,0,2022-01-20 18:58:51+00:00,,ci,,,,
8013,adrian007i/OpenMP-Parallelism,C,git,https://github.com/adrian007i/OpenMP-Parallelism.git,0,2023-10-05 02:46:48+00:00,,ci,,,,
5879,SafwanMahmood/OpenMP-vs-TBB-A-survey-on-Parallel-Programming-Models,C++,git,https://github.com/SafwanMahmood/OpenMP-vs-TBB-A-survey-on-Parallel-Programming-Models.git,0,2022-01-19 15:19:16+00:00,,ci,,,,
5892,SaltySugar32/OpenMP_tasks,C++,git,https://github.com/SaltySugar32/OpenMP_tasks.git,0,2022-01-14 07:01:35+00:00,,ci,,,,
5881,Alpha110R/Parallel_Computation_MPI_OpenMP_CUDA,C,git,https://github.com/Alpha110R/Parallel_Computation_MPI_OpenMP_CUDA.git,0,2022-01-18 21:40:51+00:00,,ci,,,,
5721,texasfight/OpenMP_HW1,C++,git,https://github.com/texasfight/OpenMP_HW1.git,0,2022-03-22 18:22:18+00:00,,ci,,,,
5555,rohit-gupta3/Parallel_and_DistributiveComputing-PDC-,C,git,https://github.com/rohit-gupta3/Parallel_and_DistributiveComputing-PDC-.git,0,2022-05-09 16:09:08+00:00,,ci,,,,
7974,sestakp/Vectorized-Mendelbrot,C++,git,https://github.com/sestakp/Vectorized-Mendelbrot.git,0,2023-10-19 11:27:20+00:00,,ci,,,,
5624,VitorBalotin/openMP,C,git,https://github.com/VitorBalotin/openMP.git,0,2022-04-19 00:33:53+00:00,,ci,,,,
5816,Imnarka/Laboratory-work-on-parallel-computing,C++,git,https://github.com/Imnarka/Laboratory-work-on-parallel-computing.git,0,2022-02-12 05:05:20+00:00,,ci,,,,
5671,thomasverardo/kd-tree_parallel,C++,git,https://github.com/thomasverardo/kd-tree_parallel.git,0,2022-04-05 08:34:55+00:00,,ci,,,,
5812,MarceloMilbradt/Analizador-genoma-paralelo,C,git,https://github.com/MarceloMilbradt/Analizador-genoma-paralelo.git,0,2022-02-15 14:53:59+00:00,,ci,,,,
5628,3w3rt0n/RegresaoLinearComOpenMP,C++,git,https://github.com/3w3rt0n/RegresaoLinearComOpenMP.git,0,2022-04-15 21:24:09+00:00,,ci,,,,
5632,dukanacv/parallel-montecarlo-pi,C,git,https://github.com/dukanacv/parallel-montecarlo-pi.git,0,2022-04-14 16:03:26+00:00,,ci,,,,
5741,UCL-PHAS0100-21-22/week8_examples,C++,git,https://github.com/UCL-PHAS0100-21-22/week8_examples.git,0,2022-03-14 19:39:30+00:00,,ci,,,,
5827,YukunJ/Parallel-Computing,C,git,https://github.com/YukunJ/Parallel-Computing.git,0,2022-02-05 22:07:41+00:00,,ci,,,,
5824,jhson989/ParallelScan,C++,git,https://github.com/jhson989/ParallelScan.git,0,2022-02-07 07:44:08+00:00,,ci,,,,
5675,gioele-maruccia/parallel-K-means-openmp,C,git,https://github.com/gioele-maruccia/parallel-K-means-openmp.git,0,2022-04-04 15:32:43+00:00,,ci,,,,
5617,Taylor-Powell/OpenMP_Basics,C++,git,https://github.com/Taylor-Powell/OpenMP_Basics.git,0,2022-04-20 19:19:19+00:00,,ci,,,,
5620,munawira/Using-OpenMP-to-Estimate-Pi,C,git,https://github.com/munawira/Using-OpenMP-to-Estimate-Pi.git,0,2022-04-20 04:44:47+00:00,,ci,,,,
8025,nishant-raman/openmp-sched,C,git,https://github.com/nishant-raman/openmp-sched.git,0,2023-09-29 21:15:19+00:00,,ci,,,,
5657,feildawproton/Genetic-Algorithm-with-OpenMP,C,git,https://github.com/feildawproton/Genetic-Algorithm-with-OpenMP.git,0,2022-04-07 18:39:01+00:00,,ci,,,,
8030,ostueker/apptainer_openmpi_test,C,git,https://github.com/ostueker/apptainer_openmpi_test.git,0,2023-09-28 20:08:34+00:00,,ci,,,,
5644,iloudaros/Paralllelll,C,git,https://github.com/iloudaros/Paralllelll.git,0,2022-04-11 20:56:30+00:00,,ci,,,,
5653,vahidkianfar/N-body_simulation-Parallel-Programming-,C,git,https://github.com/vahidkianfar/N-body_simulation-Parallel-Programming-.git,0,2022-04-08 23:18:00+00:00,,ci,,,,
5651,bartak-v/OEMS-OpenMPI,C++,git,https://github.com/bartak-v/OEMS-OpenMPI.git,0,2022-04-09 16:08:18+00:00,,ci,,,,
5793,treyvian/Kmeans-with-OpenMP,C,git,https://github.com/treyvian/Kmeans-with-OpenMP.git,0,2022-02-23 12:42:52+00:00,,ci,,,,
5802,sheakitson/MPI-and-OpenMP-in-C,C,git,https://github.com/sheakitson/MPI-and-OpenMP-in-C.git,0,2022-02-18 21:56:43+00:00,,ci,,,,
8031,olgaklimova/Parallel-solution-of-SLAE-with-tridiagonal-matrices,C,git,https://github.com/olgaklimova/Parallel-solution-of-SLAE-with-tridiagonal-matrices.git,0,2023-09-28 19:53:58+00:00,,ci,,,,
5787,ogikuzma/bfs-astar-parallelization,C,git,https://github.com/ogikuzma/bfs-astar-parallelization.git,0,2022-02-24 15:39:20+00:00,,ci,,,,
5637,oboris/openMpDemoCPP,C++,git,https://github.com/oboris/openMpDemoCPP.git,0,2022-04-13 16:19:42+00:00,,ci,,,,
5663,kotsaloscv/openmp_openacc_interoperability,C++,git,https://github.com/kotsaloscv/openmp_openacc_interoperability.git,0,2022-04-06 09:53:10+00:00,,ci,,,,
5661,louisVictorMichelot/openMP,C++,git,https://github.com/louisVictorMichelot/openMP.git,0,2022-04-06 14:49:52+00:00,,ci,,,,
7992,LiamTodd/parallel-charging-network-simulation,C,git,https://github.com/LiamTodd/parallel-charging-network-simulation.git,0,2023-10-15 02:22:41+00:00,,ci,,,,
8024,liyijiadou2020/parallel-programming,C++,git,https://github.com/liyijiadou2020/parallel-programming.git,0,2023-09-30 15:00:19+00:00,,ci,,,,
5792,bupingxx/Parallel-linear-equations-solver,C++,git,https://github.com/bupingxx/Parallel-linear-equations-solver.git,0,2022-02-23 17:22:41+00:00,,ci,,,,
8042,orangecheers-x/openmpi-playground,C++,git,https://github.com/orangecheers-x/openmpi-playground.git,0,2023-09-26 11:30:43+00:00,,ci,,,,
5589,bozdel/parallel,C,git,https://github.com/bozdel/parallel.git,0,2022-04-29 15:01:06+00:00,,ci,,,,
7980,mbm6448/parallel_MCS_openMP,C++,git,https://github.com/mbm6448/parallel_MCS_openMP.git,0,2023-10-18 20:31:11+00:00,,ci,,,,
7981,NMSU-PLEASE-Lab/PGomp,C,git,https://github.com/NMSU-PLEASE-Lab/PGomp.git,0,2023-10-18 19:42:19+00:00,,ci,,,,
8041,AlessandroDeG/HPC-MandelBrotSet-OpenMP,C,git,https://github.com/AlessandroDeG/HPC-MandelBrotSet-OpenMP.git,0,2023-09-26 16:31:09+00:00,,ci,,,,
5584,vsklamm/OpenCLCourse,C,git,https://github.com/vsklamm/OpenCLCourse.git,0,2022-04-30 16:20:12+00:00,,ci,,,,
5704,AndreP-git/Kmeans-OpenMP,C,git,https://github.com/AndreP-git/Kmeans-OpenMP.git,0,2022-03-27 10:43:04+00:00,,ci,,,,
5860,WeamMez/sequence-alignment,C,git,https://github.com/WeamMez/sequence-alignment.git,0,2022-01-25 17:51:20+00:00,,ci,,,,
5579,thomasarmel/matrix_multiplication_openmpi,C,git,https://github.com/thomasarmel/matrix_multiplication_openmpi.git,0,2022-05-01 14:22:04+00:00,,ci,,,,
5698,goshantiy/threadLab6,C++,git,https://github.com/goshantiy/threadLab6.git,0,2022-03-28 07:53:58+00:00,,ci,,,,
5857,Eliah7/OpenMP-Intro,C,git,https://github.com/Eliah7/OpenMP-Intro.git,0,2022-01-26 18:00:45+00:00,,ci,,,,
5696,francescortu/Parallel-kd-tree,C,git,https://github.com/francescortu/Parallel-kd-tree.git,0,2022-03-28 17:32:22+00:00,,ci,,,,
8000,fsanjo268/OpenMP_KMEANS,C,git,https://github.com/fsanjo268/OpenMP_KMEANS.git,0,2023-10-11 11:38:18+00:00,,ci,,,,
5605,anii76/hpc-aes-parallelisation,C,git,https://github.com/anii76/hpc-aes-parallelisation.git,0,2022-04-24 07:48:44+00:00,,ci,,,,
5775,rklohana/Cosine-Similarity-using-TF-IDF-vectors-using-hybrid-openmp-mpi-and-cuda,C++,git,https://github.com/rklohana/Cosine-Similarity-using-TF-IDF-vectors-using-hybrid-openmp-mpi-and-cuda.git,0,2022-03-02 15:11:30+00:00,,ci,,,,
5834,Kiranor/IT_LR4,C++,git,https://github.com/Kiranor/IT_LR4.git,0,2022-02-03 16:19:08+00:00,,ci,,,,
5777,Siddharth2573/openmp,C++,git,https://github.com/Siddharth2573/openmp.git,0,2022-03-02 11:16:14+00:00,,ci,,,,
5778,canatakan/poisson-solver,C++,git,https://github.com/canatakan/poisson-solver.git,0,2022-03-02 09:17:11+00:00,,ci,,,,
5831,rodneyaboue/openmp2,C,git,https://github.com/rodneyaboue/openmp2.git,0,2022-02-04 17:42:17+00:00,,ci,,,,
5840,bereydev/multiprocessor-architecture,C,git,https://github.com/bereydev/multiprocessor-architecture.git,0,2022-02-01 09:22:40+00:00,,ci,,,,
5769,s1Sharp/OpenMP,C++,git,https://github.com/s1Sharp/OpenMP.git,0,2022-03-03 23:18:46+00:00,,ci,,,,
5688,kr0nverk/Hello_Parallel_OpenMP,C++,git,https://github.com/kr0nverk/Hello_Parallel_OpenMP.git,0,2022-03-31 12:20:21+00:00,,ci,,,,
5601,aaaastark/MPI-OpenMP,C++,git,https://github.com/aaaastark/MPI-OpenMP.git,0,2022-04-24 21:01:43+00:00,,ci,,,,
5842,wszymkowski/large-scale-computing-course,C,git,https://github.com/wszymkowski/large-scale-computing-course.git,0,2022-01-31 17:34:59+00:00,,ci,,,,
5841,cassioslemos/nqueens-OpenMP,C,git,https://github.com/cassioslemos/nqueens-OpenMP.git,0,2022-01-31 18:21:34+00:00,,ci,,,,
5742,adrianoferruzzi/SD-OpenMP-MPI,C,git,https://github.com/adrianoferruzzi/SD-OpenMP-MPI.git,0,2022-03-14 10:17:24+00:00,,ci,,,,
4992,Qiuyu-Li/nbody_multithread,C,git,https://github.com/Qiuyu-Li/nbody_multithread.git,0,2020-12-18 14:10:09+00:00,,ci,,,,
8160,PKM01/Convex-Hull-Using-K-Means-Clustering-in-Hybrid-MPI-OpenMP-Environment,C++,git,https://github.com/PKM01/Convex-Hull-Using-K-Means-Clustering-in-Hybrid-MPI-OpenMP-Environment.git,0,2023-08-04 12:23:15+00:00,,ci,,,,
4985,minzhangmia/OpenMP-Parallel-sum,C,git,https://github.com/minzhangmia/OpenMP-Parallel-sum.git,0,2020-12-20 20:14:20+00:00,,ci,,,,
4979,faxmishok/OpenMP-locks-pw4,C,git,https://github.com/faxmishok/OpenMP-locks-pw4.git,0,2020-12-21 18:09:53+00:00,,ci,,,,
4975,MuhammadAhmed8/Image-Convolution-OpenMp,C++,git,https://github.com/MuhammadAhmed8/Image-Convolution-OpenMp.git,0,2020-12-22 17:30:06+00:00,,ci,,,,
4995,zhyuchao123/OpenMP-and-CUDA-for-matrix-decomposition,C,git,https://github.com/zhyuchao123/OpenMP-and-CUDA-for-matrix-decomposition.git,0,2020-12-16 04:40:44+00:00,,ci,,,,
5017,nepiskopos/2d-conduction-heat-parallel,C,git,https://github.com/nepiskopos/2d-conduction-heat-parallel.git,0,2020-12-10 00:45:56+00:00,,ci,,,,
5012,fdloopes/NBody_OpenMP_MPI,C++,git,https://github.com/fdloopes/NBody_OpenMP_MPI.git,0,2020-12-11 18:14:57+00:00,,ci,,,,
5007,tiffany1210/matrix-speedup,C,git,https://github.com/tiffany1210/matrix-speedup.git,0,2020-12-12 20:03:15+00:00,,ci,,,,
5003,MinchanJeong/Metropolis_Ising_Model_Simulation_2020_2,C,git,https://github.com/MinchanJeong/Metropolis_Ising_Model_Simulation_2020_2.git,0,2020-12-13 18:27:23+00:00,,ci,,,,
4998,nklisch/AntColony-Parallel-Optimized,C++,git,https://github.com/nklisch/AntColony-Parallel-Optimized.git,0,2020-12-15 02:56:01+00:00,,ci,,,,
4970,MarieMin/openmp,C++,git,https://github.com/MarieMin/openmp.git,0,2020-12-24 01:45:24+00:00,,ci,,,,
4939,Hummanlitto97/Multithreading,C++,git,https://github.com/Hummanlitto97/Multithreading.git,0,2021-01-02 17:12:32+00:00,,ci,,,,
4936,feliusps/High-Performance-Computing,C,git,https://github.com/feliusps/High-Performance-Computing.git,0,2021-01-03 18:36:08+00:00,,ci,,,,
4931,Dpapazaharias1/gaussian-kernel-openmp,C++,git,https://github.com/Dpapazaharias1/gaussian-kernel-openmp.git,0,2021-01-05 17:02:23+00:00,,ci,,,,
4927,duicul/ParallelAlgorithms,C++,git,https://github.com/duicul/ParallelAlgorithms.git,0,2021-01-07 09:41:41+00:00,,ci,,,,
4923,LiamHowes/Parallel-KNN-Algorithm,C++,git,https://github.com/LiamHowes/Parallel-KNN-Algorithm.git,0,2021-01-08 03:19:21+00:00,,ci,,,,
4958,rosealexander/parallel-numerical-integration-openmp,C,git,https://github.com/rosealexander/parallel-numerical-integration-openmp.git,0,2020-12-26 20:25:33+00:00,,ci,,,,
4963,nawalmunif/Kernel-Image-Processing-using-OpenMP,C++,git,https://github.com/nawalmunif/Kernel-Image-Processing-using-OpenMP.git,0,2020-12-25 12:04:49+00:00,,ci,,,,
4959,kirillston/OpenMP-MPI,C++,git,https://github.com/kirillston/OpenMP-MPI.git,0,2020-12-26 02:48:24+00:00,,ci,,,,
4955,ragen1337/taylor_series_openmp,C,git,https://github.com/ragen1337/taylor_series_openmp.git,0,2020-12-27 16:02:30+00:00,,ci,,,,
4949,KevinMTO/Helmholtz-ACC,C,git,https://github.com/KevinMTO/Helmholtz-ACC.git,0,2020-12-30 13:12:19+00:00,,ci,,,,
5021,mdafibuzzaman/openmp-task-distributed,C++,git,https://github.com/mdafibuzzaman/openmp-task-distributed.git,0,2020-12-08 23:36:24+00:00,,ci,,,,
5084,KoutaOhishi/openmp_test_cpp,C++,git,https://github.com/KoutaOhishi/openmp_test_cpp.git,0,2020-11-20 14:25:22+00:00,,ci,,,,
5080,Paritosh97/openmp-demo,C,git,https://github.com/Paritosh97/openmp-demo.git,0,2020-11-23 08:08:00+00:00,,ci,,,,
5075,shumbul/High-Performance-Computing,C,git,https://github.com/shumbul/High-Performance-Computing.git,0,2020-11-24 19:09:52+00:00,,ci,,,,
5071,joaoluisro/Parallel-K-means,C,git,https://github.com/joaoluisro/Parallel-K-means.git,0,2020-11-26 00:54:26+00:00,,ci,,,,
5067,Miha3009/OpenMP,C++,git,https://github.com/Miha3009/OpenMP.git,0,2020-11-27 06:49:21+00:00,,ci,,,,
5022,tastypeanut/uc3m-ca-openmp,C++,git,https://github.com/tastypeanut/uc3m-ca-openmp.git,0,2020-12-08 21:56:39+00:00,,ci,,,,
5103,nicspalla/openmpi_centos_x86_64,C,git,https://github.com/nicspalla/openmpi_centos_x86_64.git,0,2020-11-13 09:49:41+00:00,,ci,,,,
5099,YShoun/matrix-mul,C++,git,https://github.com/YShoun/matrix-mul.git,0,2020-11-14 14:34:09+00:00,,ci,,,,
5096,Francisneibl/processamento_paralelo_imagens,C,git,https://github.com/Francisneibl/processamento_paralelo_imagens.git,0,2020-11-17 22:23:24+00:00,,ci,,,,
5094,beaudoco/451-OpenMP-Dominating-Set,C++,git,https://github.com/beaudoco/451-OpenMP-Dominating-Set.git,0,2020-11-18 04:51:41+00:00,,ci,,,,
8137,ShwetaNIT/Parallel_Strassen_Multiplication,C,git,https://github.com/ShwetaNIT/Parallel_Strassen_Multiplication.git,0,2023-08-15 22:34:08+00:00,,ci,,,,
5060,Coursal/OpenMP-Multisort,C,git,https://github.com/Coursal/OpenMP-Multisort.git,0,2020-11-29 16:44:37+00:00,,ci,,,,
5033,michaelmcs/metodos-de-ordenamiento-OPENMP,C++,git,https://github.com/michaelmcs/metodos-de-ordenamiento-OPENMP.git,0,2020-12-03 02:01:32+00:00,,ci,,,,
5031,MariyaFilippova/Parprog-MIPT,C,git,https://github.com/MariyaFilippova/Parprog-MIPT.git,0,2020-12-05 01:08:54+00:00,,ci,,,,
8146,tapashreepradhan/OpenMP-tutorials,C,git,https://github.com/tapashreepradhan/OpenMP-tutorials.git,0,2023-08-12 14:15:50+00:00,,ci,,,,
8148,SRAABIA/OS-Project,C,git,https://github.com/SRAABIA/OS-Project.git,0,2023-08-10 17:30:48+00:00,,ci,,,,
5037,hsouri/OpenMP-Filter,C,git,https://github.com/hsouri/OpenMP-Filter.git,0,2020-12-02 18:57:15+00:00,,ci,,,,
5059,cbalkig/Parallel-Processing-Assignment-2,C,git,https://github.com/cbalkig/Parallel-Processing-Assignment-2.git,0,2020-11-29 17:06:25+00:00,,ci,,,,
5054,fatihazir/OpenMP-Aralarinda-Asal-Sayilar,C,git,https://github.com/fatihazir/OpenMP-Aralarinda-Asal-Sayilar.git,0,2020-11-29 21:22:46+00:00,,ci,,,,
5049,georgy228/Open-MP,,git,https://github.com/georgy228/Open-MP.git,0,2020-11-30 10:14:01+00:00,,ci,,,,
8142,atif4461/openmp-benchmarks,C++,git,https://github.com/atif4461/openmp-benchmarks.git,0,2024-02-16 15:11:33+00:00,,ci,,,,
5043,sarabonardi/OpenMPCellGame,C,git,https://github.com/sarabonardi/OpenMPCellGame.git,0,2020-11-30 20:35:47+00:00,,ci,,,,
5516,fresh-avocado/HaystackNeedle,C++,git,https://github.com/fresh-avocado/HaystackNeedle.git,0,2022-05-18 05:16:12+00:00,,ci,,,,
4793,brandon008/Conways-Game-of-Life-using-Multi-threading-OpenMP-,C,git,https://github.com/brandon008/Conways-Game-of-Life-using-Multi-threading-OpenMP-.git,0,2021-02-19 00:50:33+00:00,,ci,,,,
8196,PixelRetroGames/GeneticVRP,C++,git,https://github.com/PixelRetroGames/GeneticVRP.git,0,2023-07-18 12:15:45+00:00,,ci,,,,
4783,shadawck/MillerRabin-prime-number-checking-with-openMP,C++,git,https://github.com/shadawck/MillerRabin-prime-number-checking-with-openMP.git,0,2021-02-22 18:54:13+00:00,,ci,,,,
4779,ochapman-code/fast-fourier-transform,C,git,https://github.com/ochapman-code/fast-fourier-transform.git,0,2021-02-25 14:56:50+00:00,,ci,,,,
4775,DCRobledo/OpenMP-image-filter-system,C++,git,https://github.com/DCRobledo/OpenMP-image-filter-system.git,0,2021-02-26 07:52:19+00:00,,ci,,,,
4803,moiz1235/map-reduce-word-count-openmp-mpi,C,git,https://github.com/moiz1235/map-reduce-word-count-openmp-mpi.git,0,2021-02-15 04:38:08+00:00,,ci,,,,
4823,agnimc/Parallel-Word-Search-using-OpenMP,C++,git,https://github.com/agnimc/Parallel-Word-Search-using-OpenMP.git,0,2021-02-04 19:26:55+00:00,,ci,,,,
8193,GuilhermeMachado13/Equa-o-de-Poisson-em-2D-em-Paralelo-OpenMP-,C,git,https://github.com/GuilhermeMachado13/Equa-o-de-Poisson-em-2D-em-Paralelo-OpenMP-.git,0,2023-07-19 01:28:38+00:00,,ci,,,,
4814,fritschnils/tp-parallelisation,C,git,https://github.com/fritschnils/tp-parallelisation.git,0,2021-02-09 21:51:34+00:00,,ci,,,,
8194,Cinex10/Parallel-neural-network,C,git,https://github.com/Cinex10/Parallel-neural-network.git,0,2023-07-18 21:59:03+00:00,,ci,,,,
4774,Chandra-Abhishek/Hybrid-OpenMp-MPI-Mandelbrot-,C,git,https://github.com/Chandra-Abhishek/Hybrid-OpenMp-MPI-Mandelbrot-.git,0,2021-02-26 19:24:39+00:00,,ci,,,,
4742,saritazavala/LabOS3,C,git,https://github.com/saritazavala/LabOS3.git,0,2021-03-11 03:09:57+00:00,,ci,,,,
4739,4riv/OpenMPI,C,git,https://github.com/4riv/OpenMPI.git,0,2021-03-12 08:32:40+00:00,,ci,,,,
4736,florin-alistar/Lab3_OpenMP_AlistarFlorin,C++,git,https://github.com/florin-alistar/Lab3_OpenMP_AlistarFlorin.git,0,2021-03-12 13:58:01+00:00,,ci,,,,
4731,FlezZz23/OpenMP,C++,git,https://github.com/FlezZz23/OpenMP.git,0,2021-03-15 12:39:37+00:00,,ci,,,,
8208,redHaunter/LZ77-data-compression,C++,git,https://github.com/redHaunter/LZ77-data-compression.git,0,2023-07-16 08:48:11+00:00,,ci,,,,
4744,NayFreire/openMPfile,C,git,https://github.com/NayFreire/openMPfile.git,0,2021-03-11 00:13:32+00:00,,ci,,,,
8201,iggodinho/cad-openMP,C,git,https://github.com/iggodinho/cad-openMP.git,0,2023-07-16 22:13:32+00:00,,ci,,,,
4765,AnsgarKlein/Game-of-Life,C,git,https://github.com/AnsgarKlein/Game-of-Life.git,0,2021-03-01 20:48:06+00:00,,ci,,,,
8204,katiaStepovoy/ParallelComputation,C,git,https://github.com/katiaStepovoy/ParallelComputation.git,0,2023-07-16 14:22:57+00:00,,ci,,,,
4755,adhithadias/matrix-multiply,C,git,https://github.com/adhithadias/matrix-multiply.git,0,2021-03-06 04:55:38+00:00,,ci,,,,
4749,ERAjeje/Trabalho_Programacao_Paralela_IFSUL,C++,git,https://github.com/ERAjeje/Trabalho_Programacao_Paralela_IFSUL.git,0,2021-03-08 19:24:02+00:00,,ci,,,,
4893,Jacob273/JG.TechLearning.OpenMP,C++,git,https://github.com/Jacob273/JG.TechLearning.OpenMP.git,0,2021-01-17 22:34:46+00:00,,ci,,,,
4888,KatharinaBlass/ProKo-Belegaufgabe,C++,git,https://github.com/KatharinaBlass/ProKo-Belegaufgabe.git,0,2021-01-18 11:10:48+00:00,,ci,,,,
4884,survivor97/OpenMPI-grades-from-rough-marking,C++,git,https://github.com/survivor97/OpenMPI-grades-from-rough-marking.git,0,2021-01-18 19:33:59+00:00,,ci,,,,
8180,DeeSay/technology-comparison,C++,git,https://github.com/DeeSay/technology-comparison.git,0,2023-07-26 05:54:57+00:00,,ci,,,,
4877,keerti2001/High-Performance-Computing,C,git,https://github.com/keerti2001/High-Performance-Computing.git,0,2021-01-20 10:31:19+00:00,,ci,,,,
8179,LuizBrandi/gauss-seidel-parallel,C++,git,https://github.com/LuizBrandi/gauss-seidel-parallel.git,0,2023-07-26 15:18:55+00:00,,ci,,,,
4917,dtg67/hour_a_day,C++,git,https://github.com/dtg67/hour_a_day.git,0,2021-01-09 23:56:40+00:00,,ci,,,,
4913,VinniciusC/Mult_matrizes_openMP,C,git,https://github.com/VinniciusC/Mult_matrizes_openMP.git,0,2021-01-10 16:31:49+00:00,,ci,,,,
8172,ziyu-Huang1/parallel_computing,C++,git,https://github.com/ziyu-Huang1/parallel_computing.git,0,2023-07-29 07:02:07+00:00,,ci,,,,
8174,nidcat123/PDC_Project,C++,git,https://github.com/nidcat123/PDC_Project.git,0,2023-07-28 16:51:31+00:00,,ci,,,,
4900,myselfhimself/macos_openmp_ci,C,git,https://github.com/myselfhimself/macos_openmp_ci.git,0,2021-01-14 20:57:19+00:00,,ci,,,,
